Date,Company,Title,Level,Standard Level,Skill Index,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Tag,Gender,Other Details
2/9/2020,IBM,Software Engineer,Senior Advisory Eng,Staff Engineer,68.18,"Littleton, MA",194000,194000,,0,12,12,Distributed Systems (Back-End),Male,
2/9/2020,Schneider Electric,Software Engineer,Staff,,,"Portland, OR",130000,115000,,15000,25,15,Full Stack,Male,Masters
2/9/2020,Uber,Software Engineer,Senior Software Engineer II,Staff Engineer,65.46,"San Francisco, CA",595000,250000,310000,35000,8,2,Distributed Systems (Back-End),Male,Competing offers
2/9/2020,Paytm,Software Engineer,Senior,,,"Toronto, ON, Canada",110000,110000,,0,5,2,Web Development (Front-End),Male,
2/9/2020,Capital One,Software Engineer,Associate Software Eng,Entry Level Engineer,6.73,"Vienna, VA",102000,100000,,2000,0,1,API Development (Back-End),Male,
2/9/2020,Google,Software Engineer,L5,Senior Engineer,51.02,"Mountain View, CA",354000,203000,111000,39000,18,7,Security,,
2/9/2020,Microsoft,Software Engineer,SDE,Entry Level Engineer,3.98,"Seattle, WA",150000,109000,30000,10000,2,0,API Development (Back-End),Male,
2/9/2020,Squarepoint Capital,Software Engineer,Senior,,,"Montreal, QC, Canada",190000,140000,,50000,5,2,ML / AI,Male,
2/9/2020,Yelp,Software Engineer,IC3,Senior Engineer,53.54,"San Francisco, CA",205000,143000,62000,0,4,2,API Development (Back-End),Female,Masters
2/9/2020,Splunk,Software Engineer,Senior Software Engineer,Senior Engineer,46.27,"San Francisco, CA",412000,210000,170000,32000,6,3,ML / AI,,
2/9/2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"Seattle, WA",250000,160000,75000,16000,0,0,Distributed Systems (Back-End),,PhD
2/9/2020,Bethesda Game Studios,Software Engineer,Senior,,,"Austin, TX",182000,161000,,20000,15,5,DevOps,,
2/9/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",190000,142000,34000,14000,2,2,Full Stack,Male,
2/9/2020,The Home Depot,Software Engineer,Senior,,,"Atlanta, GA",132000,122000,8000,2000,6,1,Full Stack,Male,signing bonus $5000 - Masters
2/9/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Sunnyvale, CA",219000,160000,35000,24000,4,0,API Development (Back-End),Male,20 - Masters
2/9/2020,Uber,Software Engineer,Software Engineer II,Software Engineer,30.93,"San Francisco, CA",207000,137000,55000,15000,2,2,Distributed Systems (Back-End),Female,Masters
2/9/2020,Audible,Software Engineer,L7,,,"Newark, NJ",152000,118000,37000,0,5,2,API Development (Back-End),Female,
2/9/2020,Grid Dynamics,Software Engineer,L4,,,"San Francisco, CA",165000,165000,,0,12,3,Site Reliability (SRE),Male,
2/9/2020,Nike,Software Engineer,Lead,,,"Beaverton, OR",185000,162000,,23000,6,1,DevOps,Other,
2/9/2020,GeoRef Systems Limited,Software Engineer,Staff,,,"Waterloo, ON, Canada",50000,50000,,0,1,1,API Development (Back-End),Male,
2/9/2020,SAP,Software Engineer,T3,Staff Engineer,66,"Palo Alto, CA",122000,107000,,15000,3,3,API Development (Back-End),Male,Masters
2/9/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Vancouver, BC, Canada",150000,90000,60000,0,5,4,Full Stack,,
2/10/2020,Raytheon,Software Engineer,Engineer 1,,,"Denver, CO",85000,75000,,10000,0,0,Full Stack,Male,
2/10/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"San Francisco, CA",255000,150000,10000,95000,6,0,Distributed Systems (Back-End),Male,Masters
2/10/2020,Wayfair,Software Engineer,L1,Entry Level Engineer,9.82,"Boston, MA",111000,101000,,10000,0,1,Full Stack,Male,
2/10/2020,Epic Systems,Software Engineer,Software Developer,,,"Madison, WI",97000,95000,,2000,0,0,API Development (Back-End),Male,10k signing bonus
2/10/2020,General Motors,Software Engineer,Associate Software Developer,,,"Austin, TX",82000,76000,,6000,2,5,Distributed Systems (Back-End),Male,
2/10/2020,Wayfair,Software Engineer,L2,Software Engineer,29.02,"Boston, MA",138000,112000,15000,11000,1,1,Full Stack,Male,
2/10/2020,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Seattle, WA",192000,165000,15000,17000,10,5,API Development (Back-End),,
2/10/2020,Able,Software Engineer,L5,,,"Lima, LI, Peru",40000,40000,,0,4,1,Full Stack,Male,
2/10/2020,Autodesk,Software Engineer,Software Engineer 1,Entry Level Engineer,4.04,"San Francisco, CA",124000,114000,,10000,6,6,Site Reliability (SRE),,
2/10/2020,Wayfair,Software Engineer,L2,Software Engineer,29.02,"Boston, MA",156000,131000,12000,13000,3,0.7,Android,Male,
2/10/2020,Epic Systems,Software Engineer,2,,,"Madison, WI",240000,200000,20000,20000,12,12,Full Stack,Male,
2/10/2020,Musala Soft,Software Engineer,SWE2,,,"Skopje, AR, Macedonia, The Former Yugoslav Republic of",11000,11000,,0,10,1,Full Stack,Male,
2/10/2020,Epic Systems,Software Engineer,Software Developer,,,"Verona, WI",118000,108000,,10000,2,1.6,Full Stack,Male,
2/10/2020,Contentsquare,Software Engineer,L2,,,"Paris, IL, France",53000,53000,,0,5,5,Full Stack,Male,Masters
2/10/2020,SAP,Software Engineer,T2,Senior Engineer,43,"Palo Alto, CA",160000,125000,25000,10000,3,3,Full Stack,Male,Masters
2/10/2020,Target,Software Engineer,New Grad,,,"Minneapolis, MN",74000,74000,,0,0,0,Full Stack,,
2/10/2020,Fareva,Software Engineer,1,,,"Chicago, IL",60000,60000,,0,0,0,Web Development (Front-End),Male,
2/10/2020,NetApp,Software Engineer,MTS III,Senior Engineer,49.02,"Sunnyvale, CA",145000,145000,,0,4,0.2,Full Stack,Male,Masters
2/10/2020,Godaddy LLC,Software Engineer,4,,,"Phoenix, AZ",196000,135000,40000,21000,12,1,DevOps,Male,Masters
2/10/2020,NCR Corporation,Software Engineer,Software Engineer I,,,"Atlanta, GA",83000,83000,,0,0,0,API Development (Back-End),Male,
2/10/2020,Epic Systems,Software Engineer,Software Developer,,,"Madison, WI",95000,96000,,1000,0,0,Web Development (Front-End),Female,
2/10/2020,IHS Markit,Software Engineer,Senior,,,"Gdansk, PM, Poland",37000,33000,2000,2000,3,1.5,ML / AI,Male,Masters
2/10/2020,VMware,Software Engineer,Staff Engineer 1,Senior Engineer,51.01,"Dallas, TX",247000,160000,60000,27000,12,6,Full Stack,Male,
2/10/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Mountain View, CA",247000,160000,63000,24000,5,0,Full Stack,Male,
2/10/2020,Oracle,Software Engineer,IC-3,Software Engineer,30,"Brno, JM, Czech Republic",37000,30000,7000,0,4,2,Web Development (Front-End),Male,Masters
2/10/2020,Airbnb,Software Engineer,L5,Senior Engineer,54.82,"San Francisco, CA",450000,220000,170000,60000,7,0,Distributed Systems (Back-End),Male,Masters
2/10/2020,SAP,Software Engineer,T2,Senior Engineer,43,"Vancouver, BC, Canada",70000,61000,3000,6000,5,3,Full Stack,Female,Masters
2/10/2020,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"Portland, OR",293000,190000,75000,28000,12,1,Full Stack,Male,
2/10/2020,Mastercard,Software Engineer,L7,,,"Arlington, VA",178000,153000,,25000,4,4,Full Stack,Male,
2/10/2020,Sefas Innovation,Software Engineer,Staff,,,"Burlington, MA",60000,60000,,0,0,1,Full Stack,Male,
2/10/2020,Fis,Software Engineer,Intermidiate,,,"Belgrade, SR, Serbia",28000,28000,,0,5,2,Full Stack,Male,Masters
2/10/2020,Globallogic,Software Engineer,Lead Software Engineer,,,"Sunnyvale, CA",139000,139000,,0,9,2,Distributed Systems (Back-End),Male,
2/10/2020,Intel,Software Engineer,Grade 7,Software Engineer,35.78,"Munich, BY, Germany",100000,78000,6000,16000,9,4,Mobile (iOS + Android),,
2/10/2020,Gusto,Software Engineer,L3,,,"New York, NY",225000,175000,50000,0,5,0,Full Stack,Male,
2/10/2020,Microsoft,Software Engineer,62,Software Engineer,31.25,"Sunnyvale, CA",180000,150000,20000,10000,5,0,Networking,Female,Masters
2/10/2020,AcuityAds,Software Engineer,Senior Data Engineer,,,"Toronto, ON, Canada",97000,97000,2000,0,6,3,Distributed Systems (Back-End),Male,
2/10/2020,Wayfair,Software Engineer,L2,Software Engineer,29.02,"Boston, MA",164000,118000,34000,12000,5,3,ML / AI,Male,
2/10/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Tokyo, TY, Japan",130000,96000,21000,14000,2,0,Distributed Systems (Back-End),Male,
2/10/2020,Samba TV,Software Engineer,6,,,"San Francisco, CA",500000,280000,,220000,5,3,Distributed Systems (Back-End),Male,PhD
2/10/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Sunnyvale, CA",285000,165000,120000,0,10,2,Android,,Masters
2/10/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"San Francisco, CA",233000,167000,62000,0,5,1.5,Full Stack,Male,Masters
2/10/2020,Booz Allen Hamilton,Software Engineer,technologist,,,"Chantilly, VA",92000,92000,,0,2,1,Full Stack,Male,
2/10/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",159000,130000,21000,12000,0,0,Web Development (Front-End),Male,
2/10/2020,Square,Software Engineer,Level 5,Senior Engineer,51,"San Francisco, CA",225000,150000,75000,0,6,5,API Development (Back-End),Male,No bonuses at Square.
2/10/2020,Bloomberg,Software Engineer,Software Engineer,Entry Level Engineer,15.59,"New York, NY",140000,128000,,12000,0,0,Distributed Systems (Back-End),Male,
2/10/2020,Bloomberg,Software Engineer,Software Engineer,Entry Level Engineer,15.59,"New York, NY",154000,138000,,16000,1,1,Distributed Systems (Back-End),Male,
2/10/2020,Bloomberg,Software Engineer,Software Engineer,Entry Level Engineer,15.59,"New York, NY",175000,152000,,23000,2,2,Distributed Systems (Back-End),Male,
2/10/2020,Wayfair,Software Engineer,L2,Software Engineer,29.02,"Boston, MA",154000,125000,17000,12000,5,2,Full Stack,,Masters
2/10/2020,Epic Systems,Software Engineer,Senior Software Systems Developer,,,"Madison, WI",233000,195000,30000,8000,9,9,Full Stack,,
2/10/2020,Netflix,Software Engineer,Senior Software Engineer,Senior Engineer,50,"Los Gatos, CA",451000,430000,21000,0,4,0,Distributed Systems (Back-End),Male,Masters
2/10/2020,Ginkgo Bioworks,Software Engineer,2,,,"Boston, MA",125000,125000,,0,2,1.5,Full Stack,Female,Masters
2/10/2020,Oracle,Software Engineer,IC-2,Entry Level Engineer,10,"Seattle, WA",180000,140000,40000,0,1,0,Distributed Systems (Back-End),Male,"20k signing, 10k relo"
2/10/2020,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"New York, NY",125000,118000,2000,5000,2,2,Full Stack,Male,
2/10/2020,Vimeo,Software Engineer,Senior,,,"New York, NY",210000,170000,30000,10000,5,2,Distributed Systems (Back-End),Male,Masters
2/10/2020,Intel,Software Engineer,Grade 7,Software Engineer,35.78,"Santa Clara, CA",170000,140000,13000,17000,8,8,Full Stack,Male,Masters
2/10/2020,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Seattle, WA",290000,160000,130000,0,10,6,Full Stack,,Masters
2/10/2020,Nvidia,Software Engineer,IC4,Senior Engineer,41.15,"Santa Clara, CA",212000,180000,32000,0,8,2,Distributed Systems (Back-End),,
2/10/2020,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"Plano, TX",110000,105000,,5000,2,0,Full Stack,,
2/10/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",200000,160000,40000,0,26,2,Full Stack,Male,Masters
2/10/2020,Coupa Software,Software Engineer,Lead Software Engineer,,,"San Mateo, CA",330000,165000,150000,15000,15,5,Full Stack,Male,Masters and PhD
2/10/2020,eBay,Software Engineer,MTS 2,Senior Engineer,60.5,"San Jose, CA",263000,195000,42000,27000,10,4,Testing (SDET),,
2/10/2020,McAfee,Software Engineer,G8,,,"Santa Clara, CA",170000,140000,20000,10000,15,7,Web Development (Front-End),Male,
2/10/2020,Yelp,Software Engineer,IC2,Software Engineer,27.78,"San Francisco, CA",185000,135000,30000,20000,3,1,Full Stack,Male,Negotiated.
2/11/2020,Cisco,Software Engineer,Technical Leader 1,Senior Engineer,53.09,"San Jose, CA",230000,171000,30000,25000,13,3,API Development (Back-End),Female,Masters
2/11/2020,PayPal,Software Engineer,Software Engineer 3,,,"Singapore, SG, Singapore",90000,68000,15000,7000,7,2.5,Full Stack,Male,Masters
2/11/2020,Nordsys GmbH,Software Engineer,Senior,,,"Braunschweig, NI, Germany",75000,75000,,0,10,19,Full Stack,Male,
2/11/2020,Uber,Software Engineer,Software Engineer II,Software Engineer,30.93,"San Francisco, CA",276000,159000,99000,16000,6,1,Distributed Systems (Back-End),Male,
2/11/2020,Rubrik,Software Engineer,L3,Entry Level Engineer,10.2,"Palo Alto, CA",162000,121000,29000,12000,2,2,ML / AI,,
2/11/2020,Rubrik,Software Engineer,L5,Senior Engineer,51.02,"Palo Alto, CA",233000,170000,46000,17000,4,2,Distributed Systems (Back-End),,
2/11/2020,Nuro,Software Engineer,L4,,,"Mountain View, CA",244000,130000,95000,19000,2,0,ML / AI,,
2/11/2020,Nuro,Software Engineer,L4,,,"Mountain View, CA",368000,150000,196000,22000,2,2,Distributed Systems (Back-End),,
2/11/2020,Nuro,Software Engineer,L3,,,"Mountain View, CA",251000,120000,113000,18000,1,1,Distributed Systems (Back-End),,
2/11/2020,Audible,Software Engineer,L10,,,"Newark, NJ",300000,193000,109000,0,11,5,Full Stack,Male,
2/11/2020,Apple,Software Engineer,ICT2,Entry Level Engineer,6.25,"Cupertino, CA",162000,120000,22000,20000,2,0.33,Hardware Technologies,Male,"Hardware Technology Group, Signing of 20k"
2/11/2020,Nvidia,Software Engineer,IC1,Entry Level Engineer,2.88,"Santa Clara, CA",158000,128000,20000,10000,2,0.5,Tegra,Male,"Tegra Software, 15k signing"
2/11/2020,Intel,Software Engineer,Grade 6,Software Engineer,25.69,"Santa Clara, CA",156000,136000,4000,16000,3,1,API Development (Back-End),Male,Masters
2/11/2020,NTT Data Federal,Software Engineer,Software Development Senior Specialist,,,"Arlington, VA",181000,178000,,3000,15,2,Full Stack,Male,
2/11/2020,Intuit,Software Engineer,Senior Software Engineer,Senior Engineer,50.51,"Bangalore, KA, India",127000,47000,70000,10000,8,1,Distributed Systems (Back-End),Male,Masters
2/11/2020,Fohr,Software Engineer,senior,,,"New York, NY",135000,135000,,0,7,1,API Development (Back-End),,
2/11/2020,WeWork,Software Engineer,L4,Software Engineer,37.37,"San Francisco, CA",208000,160000,40000,8000,5,1,data platforam,Male,Masters
2/11/2020,Lagorta,Software Engineer,L4,,,"Egypt, AR",12000,13000,,1000,7,1,API Development (Back-End),Male,
2/11/2020,Wayfair,Software Engineer,L2,Software Engineer,29.02,"Boston, MA",140000,112000,17000,11000,6,2,Full Stack,Male,
2/11/2020,Microsoft,Software Engineer,64,Senior Engineer,50.57,"Redmond, WA",210000,170000,14000,25000,25,13,Full Stack,,Masters
2/11/2020,Raytheon,Software Engineer,g10,,,"Washington, DC",142000,142000,,0,15,11,Full Stack,,Masters
2/11/2020,IBM,Software Engineer,Staff Engineer,Software Engineer,30.3,"Durham, NC",120000,120000,,0,4,1,Web Development (Front-End),Male,Masters
2/11/2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Mountain View, CA",185000,126000,25000,34000,0,0,New Grad,Male,
2/11/2020,Microsoft,Software Engineer,62,Software Engineer,31.25,"Redmond, WA",195000,145000,25000,20000,6,1,Networking,,Masters
2/11/2020,Apple,Software Engineer,ICT3,Software Engineer,25,"Cupertino, CA",169000,130000,26000,13000,3,0,Testing (SDET),Female,Masters
2/11/2020,Spotify,Software Engineer,Engineer II,Software Engineer,26.26,"New York, NY",175000,155000,20000,0,3,3,API Development (Back-End),Female,Masters
2/11/2020,VMware,Software Engineer,Staff Engineer 2,Staff Engineer,69.19,"Boston, MA",350000,205000,103000,42000,18,5,Full Stack,Male,
2/11/2020,SAP,Software Engineer,T2,Senior Engineer,43,"Vancouver, BC, Canada",104000,90000,,14000,3,3,Full Stack,Male,Masters
2/11/2020,Mathworks,Software Engineer,L2,,,"Boston, MA",115000,110000,5000,0,1,1,Web Development (Front-End),,Masters
2/11/2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Mountain View, CA",170000,130000,25000,15000,1,1,ML / AI,Male,
2/11/2020,Walmart Labs,Software Engineer,Senior Software Engineer,Senior Engineer,47.87,"Carlsbad, CA",184000,145000,10000,29000,11,1,Web Development (Front-End),Female,Masters
2/11/2020,Walmart Labs,Software Engineer,Software Engineer 2,Entry Level Engineer,6.91,"Reston, VA",126000,105000,5000,18000,3,2,Full Stack,Male,
2/11/2020,T-Mobile,Software Engineer,Associate Engineer,Entry Level Engineer,9.35,"Bothell, WA",95000,84000,3000,8000,0,0,Full Stack,,
2/11/2020,Vimeo,Software Engineer,Software Engineer 2,,,"New York, NY",145000,135000,,10000,4,0,Full Stack,Male,
2/11/2020,Vimeo,Software Engineer,Software Engineer 3,,,"New York, NY",176000,160000,,16000,5,1,Full Stack,Male,
2/11/2020,Stripe,Software Engineer,L4,Staff Engineer,78.57,"San Francisco, CA",500000,210000,250000,40000,15,1,Full Stack,Male,
2/11/2020,Discover Financial,Software Engineer,Associate,,,"Chicago, IL",80000,76000,,4000,1,1,API Development (Back-End),Male,
2/11/2020,Bloomberg,Software Engineer,Senior,,,"New York, NY",240000,195000,,45000,10,7,Distributed Systems (Back-End),,Masters
2/11/2020,Verizon Media,Software Engineer,IC3,,,"Sunnyvale, CA",170000,137000,13000,20000,2,2,API Development (Back-End),Male,Masters
2/11/2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Sunnyvale, CA",197000,129000,49000,20000,3,0,Distributed Systems (Back-End),Male,Masters
2/11/2020,JPMorgan Chase,Software Engineer,Senior Associate,Software Engineer,28.57,"Plano, TX",107000,98000,,9000,4,4,Full Stack,Female,
2/11/2020,Goldman Sachs,Software Engineer,Analyst,Entry Level Engineer,9.52,"New York, NY",179000,134000,,45000,2,2,Distributed Systems (Back-End),Female,Masters
2/11/2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"San Francisco, CA",200000,138000,42000,20000,5,0,API Development (Back-End),Male,
2/11/2020,Zoox,Software Engineer,5,,,"Foster City, CA",430000,220000,210000,0,8,1,Distributed Systems (Back-End),Male,Masters
2/11/2020,Auth0,Software Engineer,Senior,,,"Atlanta, GA",130000,120000,10000,0,10,2,Full Stack,Male,
2/11/2020,Intuit,Software Engineer,Software Engineer 2,Software Engineer,30.3,"Mountain View, CA",168000,130000,25000,13000,2,1.5,Full Stack,Female,Masters
2/11/2020,Atlassian,Software Engineer,P4,Software Engineer,33.17,"Mountain View, CA",220000,160000,45000,15000,5,2,API Development (Back-End),,
2/11/2020,Nokia,Software Engineer,10,,,"Mountain View, CA",181000,151000,10000,20000,10,7,Networking,Male,
2/11/2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Chicago, IL",164000,110000,37000,17000,5,1,Distributed Systems (Back-End),Male,
2/12/2020,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"San Francisco, CA",233000,175000,32000,26000,5,0,ML / AI,Male,Signing bonus of 15k and retention bonus of 15k relocation bonus of 33k - Masters
2/12/2020,Deloitte,Software Engineer,Senior Consultant,,,"Jakarta, JK, Indonesia",60000,50000,,10000,6,1,iOS,Male,
2/12/2020,Epic Systems,Software Engineer,Software Developer,,,"Verona, WI",105000,95000,,10000,0,0,API Development (Back-End),Male,
2/12/2020,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Redmond, WA",168000,130000,25000,13000,2,0,API Development (Back-End),Male,"Signing Bonus: $50,000 - Masters"
2/12/2020,Mastercard,Software Engineer,III,,,"St. Louis, MO",120000,110000,,10000,2,1.5,Full Stack,,Masters
2/12/2020,Uber,Software Engineer,Senior Software Engineer,Senior Engineer,50,"San Francisco, CA",425000,195000,200000,30000,10,2,Distributed Systems (Back-End),,Masters
2/12/2020,Nutanix,Software Engineer,MTS4,,,"Bangalore, KA, India",70000,53000,17000,0,4,2,Distributed Systems (Back-End),Male,
2/12/2020,Adobe,Software Engineer,Senior Software Engineer (4),Software Engineer,33.66,"Bucharest, BU, Romania",77000,60000,11000,6000,17,5,Full Stack,Male,Masters
2/12/2020,Microsoft,Software Engineer,64,Senior Engineer,50.57,"Redmond, WA",250000,150000,50000,50000,10,10,API Development (Back-End),Female,
2/12/2020,Mozilla,Software Engineer,Senior,,,"Bozeman, MT",173000,145000,,28000,18,3.5,DevOps,Male,
2/12/2020,Uber,Software Engineer,Software Engineer I,Entry Level Engineer,10.31,"New York, NY",157000,113000,31000,13000,1,1,Full Stack,,
2/12/2020,Google,Software Engineer,L4,Software Engineer,30.61,"San Francisco, CA",400000,200000,100000,100000,5,2,iOS,,
2/12/2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"Seattle, WA",205000,150000,40000,15000,1,1,ML / AI,Male,Masters
2/12/2020,Walmart Labs,Software Engineer,Software Engineer 3,Software Engineer,25.53,"Sunnyvale, CA",155000,130000,5000,20000,2,2,Full Stack,Male,Masters
2/12/2020,Lyft,Software Engineer,T5,Senior Engineer,50.51,"New York, NY",400000,200000,200000,0,10,1,Distributed Systems (Back-End),Male,
2/12/2020,FactSet Research Systems,Software Engineer,Software Engineer 2,,,"Austin, TX",90000,90000,,0,3,1,Full Stack,Female,Masters
2/12/2020,JPMorgan Chase,Software Engineer,Associate,Entry Level Engineer,9.52,"Brooklyn, NY",102000,100000,,2000,1,1,Full Stack,Male,
2/12/2020,Instawork,Software Engineer,Engineer I,,,"San Francisco, CA",133000,133000,1000,0,4,2.5,Full Stack,Female,
2/12/2020,SAP,Software Engineer,T2,Senior Engineer,43,"Walldorf, BW, Germany",64000,56000,4000,2000,4,4,Distributed Systems (Back-End),Male,Masters
2/12/2020,eBay,Software Engineer,MTS 1,Senior Engineer,45,"San Jose, CA",219000,162000,41000,16000,10,6,Testing (SDET),Male,
2/12/2020,UBS,Software Engineer,Director,,,"New York, NY",182000,168000,1000,14000,15,2,Full Stack,Male,
2/12/2020,Brandwatch,Software Engineer,Senior,,,"Brighton, EN, United Kingdom",97000,97000,,0,11,1,Web Development (Front-End),Male,
2/12/2020,PayPal,Software Engineer,T24,Software Engineer,28.17,"San Jose, CA",225000,145000,60000,20000,5,4,API Development (Back-End),,Masters
2/12/2020,InVision,Software Engineer,Lead Software Engineer,,,"Boulder, CO",190000,190000,,0,9,1,iOS,Male,
2/12/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Bellevue, WA",250000,160000,50000,40000,20,0,API Development (Back-End),Male,
2/12/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Cambridge, MA",250000,150000,100000,0,2,2,ML / AI,Male,PhD
2/12/2020,Oracle,Software Engineer,IC-2,Entry Level Engineer,10,"Cambridge, MA",192000,130000,62000,0,0,0,Distributed Systems (Back-End),Female,50000 - Masters
2/12/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Herndon, VA",185000,145000,40000,0,7,3,Site Reliability (SRE),Other,
2/12/2020,Cisco,Software Engineer,Technical Leader 1,Senior Engineer,53.09,"San Jose, CA",180000,150000,10000,20000,10,2,Full Stack,,Masters
2/12/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"New York, NY",200000,130000,70000,0,15,9,Distributed Systems (Back-End),Male,Masters
2/12/2020,the krazy coupon lady,Software Engineer,1,,,"Eagle, ID",62000,60000,,2000,2,2,Web Development (Front-End),Female,
2/12/2020,SharesPost,Software Engineer,Senior,,,"San Francisco, CA",176000,176000,5000,0,5,1,Full Stack,Male,
2/12/2020,Mphasis,Software Engineer,Senior,,,"Tampa, FL",100000,96000,,4000,8,1,API Development (Back-End),Male,Masters
2/12/2020,Ericsson,Software Engineer,Senior,,,"Mississauga, ON, Canada",85000,75000,,10000,6,6,API Development (Back-End),Male,
2/12/2020,Hubspot,Software Engineer,Senior I,,,"Boston, MA",131000,127000,4000,0,5,2,Web Development (Front-End),Male,
2/12/2020,Intel,Software Engineer,Grade 5,Entry Level Engineer,10.55,"Toronto, ON, Canada",83000,72000,1000,9000,2,4,EDA Tool (Back-End),Male,
2/12/2020,Qualcomm,Software Engineer,Engineer,Entry Level Engineer,11,"San Diego, CA",120000,100000,10000,10000,0,0,Testing (SDET),Male,"25000 sign on bonus, 8000 relocation, 40000  stock"
2/12/2020,eBay,Software Engineer,Sr. MTS,,,"San Jose, CA",396000,201000,150000,45000,20,16,API Development (Back-End),Male,
2/12/2020,LinkedIn,Software Engineer,Staff Software Engineer,Senior Engineer,50.51,"Sunnyvale, CA",650000,230000,400000,25000,10,3,Distributed Systems (Back-End),,
2/12/2020,Microsoft,Software Engineer,64,Senior Engineer,50.57,"Redmond, WA",245000,170000,45000,30000,10,8,Distributed Systems (Back-End),Male,
2/12/2020,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"Vienna, VA",124000,118000,,6000,3,1,Web Development (Front-End),Male,Masters
2/12/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Kirkland, WA",230000,134000,70000,26000,3,3,Distributed Systems (Back-End),Male,Masters
2/12/2020,Lyft,Software Engineer,T5,Senior Engineer,50.51,"San Francisco, CA",380000,210000,170000,0,8,2,iOS,Male,
2/12/2020,eBay,Software Engineer,SE 2,Entry Level Engineer,18,"San Jose, CA",173000,132000,26000,15000,4,2,API Development (Back-End),Male,Masters
2/12/2020,Iron.io,Software Engineer,Middle,,,"Bishkek, BI, Kyrgyzstan",50000,50000,,0,10,4,Distributed Systems (Back-End),Male,
2/13/2020,Yahoo,Software Engineer,Principal Software Engineer,Senior Engineer,58.51,"Sunnyvale, CA",285000,178000,85000,22000,5,5,Distributed Systems (Back-End),Male,Masters
2/13/2020,Fidelity Investments,Software Engineer,4,,,"Dublin, DN, Ireland",55000,55000,,4000,3,3,Full Stack,Male,Masters
2/13/2020,Coinbase,Software Engineer,IC5,,,"London, EN, United Kingdom",310000,180000,130000,0,10,1,API Development (Back-End),Male,
2/13/2020,Charles Schwab,Software Engineer,Associate,,,"Denver, CO",81000,76000,,5000,0,0,Distributed Systems (Back-End),Male,
2/13/2020,Netflix,Software Engineer,Senior Software Engineer,Senior Engineer,50,"Los Angeles, CA",378000,360000,18000,0,9,2,Web Development (Front-End),Male,
2/13/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",200000,160000,40000,0,4,2,Distributed Systems (Back-End),Male,
2/13/2020,SAP,Software Engineer,T2,Senior Engineer,43,"Newport Beach, CA",110000,103000,,7000,2,2,ML / AI,Male,Masters
2/13/2020,Twitter,Software Engineer,Staff SWE,Staff Engineer,68.18,"Baltimore, MD",380000,190000,140000,50000,8,3,Android,Male,
2/13/2020,Vanguard,Software Engineer,Software Developer I,,,"Philadelphia, PA",83000,70000,7000,6000,0,0,Full Stack,Male,
2/13/2020,Yahoo,Software Engineer,Senior Software Engineer,Senior Engineer,42.02,"Sunnyvale, CA",231000,174000,30000,27000,8,5,Distributed Systems (Back-End),Male,Masters
2/13/2020,Nvidia,Software Engineer,IC3,Software Engineer,25.1,"Santa Clara, CA",180000,140000,40000,0,5,5,Distributed Systems (Back-End),,
2/13/2020,LogMeIn,Software Engineer,T1,,,"Boston, MA",90000,90000,,4000,1,1,Full Stack,Male,"Self-Taught, No CS Degree"
2/13/2020,Okta,Software Engineer,Staff Software Engineer,,,"Bellevue, WA",280000,205000,65000,10000,8,1,Full Stack,,
2/13/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Tempe, AZ",192000,137000,55000,0,5,4,Distributed Systems (Back-End),Male,
